Sample_ID,site,habitat,position,number,latitude,longitude,elevation,pH
Plant_B06_1,Arayu-Jigoku,Forest edge,6,1,38.8176,140.726323,607,3.28
Plant_B06_2,Arayu-Jigoku,Forest edge,6,2,38.8176,140.726323,607,3.28
Plant_B06_3,Arayu-Jigoku,Forest edge,6,3,38.8176,140.726323,607,3.28
Plant_B06_4,Arayu-Jigoku,Forest edge,6,4,38.8176,140.726323,607,3.28
Plant_B07_1,Arayu-Jigoku,Forest edge,7,1,38.81757,140.72629,607,3.36
Plant_B07_2,Arayu-Jigoku,Forest edge,7,2,38.81757,140.72629,607,3.36
Plant_B08_1,Arayu-Jigoku,Forest edge,8,1,38.817696,140.726439,608,3.27
Plant_B08_2,Arayu-Jigoku,Forest edge,8,2,38.817696,140.726439,608,3.27
Plant_B08_3,Arayu-Jigoku,Forest edge,8,3,38.817696,140.726439,608,3.27
Plant_B09_1,Arayu-Jigoku,Forest edge,9,1,38.817725,140.726424,608,3.35
Plant_B09_2,Arayu-Jigoku,Forest edge,9,2,38.817725,140.726424,608,3.35
Plant_B09_3,Arayu-Jigoku,Forest edge,9,3,38.817725,140.726424,608,3.35
Plant_B09_4,Arayu-Jigoku,Forest edge,9,4,38.817725,140.726424,608,3.35
Plant_B10_1,Arayu-Jigoku,Forest edge,10,1,38.817794,140.726367,610,3.18
Plant_B10_2,Arayu-Jigoku,Forest edge,10,2,38.817794,140.726367,610,3.18
Plant_B10_3,Arayu-Jigoku,Forest edge,10,3,38.817794,140.726367,610,3.18
Plant_B11_1,Arayu-Jigoku,Forest edge,11,1,38.817803,140.726397,610,3
Plant_B11_2,Arayu-Jigoku,Forest edge,11,2,38.817803,140.726397,610,3
Plant_B11_3,Arayu-Jigoku,Forest edge,11,3,38.817803,140.726397,610,3
Plant_B12_1,Arayu-Jigoku,Forest edge,12,1,38.81787,140.72639,610,2.96
Plant_B12_2,Arayu-Jigoku,Forest edge,12,2,38.81787,140.72639,610,2.96
Plant_B12_3,Arayu-Jigoku,Forest edge,12,3,38.81787,140.72639,610,2.96
Plant_B13_1,Arayu-Jigoku,Forest edge,13,1,38.817897,140.72664,610,2.88
Plant_B13_2,Arayu-Jigoku,Forest edge,13,2,38.817897,140.72664,610,2.88
Plant_B13_3,Arayu-Jigoku,Forest edge,13,3,38.817897,140.72664,610,2.88
Plant_B14_1,Arayu-Jigoku,Forest edge,14,1,38.817915,140.726673,610,2.65
Plant_B14_2,Arayu-Jigoku,Forest edge,14,2,38.817915,140.726673,610,2.65
Plant_B14_3,Arayu-Jigoku,Forest edge,14,3,38.817915,140.726673,610,2.65
Plant_B14_4,Arayu-Jigoku,Forest edge,14,4,38.817915,140.726673,610,2.65
Plant_B14_5,Arayu-Jigoku,Forest edge,14,5,38.817915,140.726673,610,2.65
Plant_B15_1,Arayu-Jigoku,Forest edge,15,1,38.818026,140.726657,610,2.56
Plant_B15_2,Arayu-Jigoku,Forest edge,15,2,38.818026,140.726657,610,2.56
Plant_B15_3,Arayu-Jigoku,Forest edge,15,3,38.818026,140.726657,610,2.56
Plant_B15_4,Arayu-Jigoku,Forest edge,15,4,38.818026,140.726657,610,2.56
Plant_B16_1,Arayu-Jigoku,Forest edge,16,1,38.818083,140.726697,608,2.8
Plant_B16_2,Arayu-Jigoku,Forest edge,16,2,38.818083,140.726697,608,2.8
Plant_B16_3,Arayu-Jigoku,Forest edge,16,3,38.818083,140.726697,608,2.8
Plant_B17_1,Arayu-Jigoku,Forest edge,17,1,38.81812,140.726737,608,2.69
Plant_B17_2,Arayu-Jigoku,Forest edge,17,2,38.81812,140.726737,608,2.69
Plant_B17_3,Arayu-Jigoku,Forest edge,17,3,38.81812,140.726737,608,2.69
Plant_B18_1,Arayu-Jigoku,Forest edge,18,1,38.818179,140.726765,606,2.61
Plant_B18_2,Arayu-Jigoku,Forest edge,18,2,38.818179,140.726765,606,2.61
Plant_B18_3,Arayu-Jigoku,Forest edge,18,3,38.818179,140.726765,606,2.61
Plant_B18_4,Arayu-Jigoku,Forest edge,18,4,38.818179,140.726765,606,2.61
Plant_B18_5,Arayu-Jigoku,Forest edge,18,5,38.818179,140.726765,606,2.61
Plant_B19_1,Arayu-Jigoku,Forest edge,19,1,38.818169,140.726796,607,2.65
Plant_B19_2,Arayu-Jigoku,Forest edge,19,2,38.818169,140.726796,607,2.65
Plant_B19_3,Arayu-Jigoku,Forest edge,19,3,38.818169,140.726796,607,2.65
Plant_B19_4,Arayu-Jigoku,Forest edge,19,4,38.818169,140.726796,607,2.65
Plant_B19_5,Arayu-Jigoku,Forest edge,19,5,38.818169,140.726796,607,2.65
Plant_B20_1,Arayu-Jigoku,Forest edge,20,1,38.818224,140.726876,607,2.56
Plant_B20_2,Arayu-Jigoku,Forest edge,20,2,38.818224,140.726876,607,2.56
Plant_B20_3,Arayu-Jigoku,Forest edge,20,3,38.818224,140.726876,607,2.56
Plant_B20_4,Arayu-Jigoku,Forest edge,20,4,38.818224,140.726876,607,2.56
Plant_B21_1,Arayu-Jigoku,Forest edge,21,1,38.818221,140.727036,607,2.74
Plant_B21_2,Arayu-Jigoku,Forest edge,21,2,38.818221,140.727036,607,2.74
Plant_B21_3,Arayu-Jigoku,Forest edge,21,3,38.818221,140.727036,607,2.74
Plant_B21_4,Arayu-Jigoku,Forest edge,21,4,38.818221,140.727036,607,2.74
Plant_B21_5,Arayu-Jigoku,Forest edge,21,5,38.818221,140.727036,607,2.74
Plant_B22_1,Arayu-Jigoku,Forest edge,22,1,38.81827,140.727116,605,3.42
Plant_B22_2,Arayu-Jigoku,Forest edge,22,2,38.81827,140.727116,605,3.42
Plant_B22_3,Arayu-Jigoku,Forest edge,22,3,38.81827,140.727116,605,3.42
Plant_B22_4,Arayu-Jigoku,Forest edge,22,4,38.81827,140.727116,605,3.18
Plant_B23_1,Arayu-Jigoku,Forest edge,23,1,38.81828,140.727205,605,3.18
Plant_B23_2,Arayu-Jigoku,Forest edge,23,2,38.81828,140.727205,605,3.18
Plant_B23_3,Arayu-Jigoku,Forest edge,23,3,38.81828,140.727205,605,3.18
Plant_B23_4,Arayu-Jigoku,Forest edge,23,4,38.81828,140.727205,605,3.18
Plant_B23_5,Arayu-Jigoku,Forest edge,23,5,38.81828,140.727205,605,3
Plant_B24_1,Arayu-Jigoku,Forest edge,24,1,38.818316,140.727294,605,3
Plant_B24_2,Arayu-Jigoku,Forest edge,24,2,38.818316,140.727294,605,3
Plant_B24_3,Arayu-Jigoku,Forest edge,24,3,38.818316,140.727294,605,3
Plant_B24_4,Arayu-Jigoku,Forest edge,24,4,38.818316,140.727294,605,3
Plant_B25_1,Arayu-Jigoku,Forest edge,25,1,38.818295,140.727422,606,3.2
Plant_B25_2,Arayu-Jigoku,Forest edge,25,2,38.818295,140.727422,606,3.2
Plant_B25_3,Arayu-Jigoku,Forest edge,25,3,38.818295,140.727422,606,3.2
Plant_B25_4,Arayu-Jigoku,Forest edge,26,1,38.818294,140.72749,607,3.31
Plant_B26_1,Arayu-Jigoku,Forest edge,26,2,38.818294,140.72749,607,3.31
Plant_B26_2,Arayu-Jigoku,Forest edge,26,3,38.818294,140.72749,607,3.31
Plant_B27_1,Arayu-Jigoku,Forest edge,27,1,38.818352,140.727618,605,3.31
Plant_B27_2,Arayu-Jigoku,Forest edge,27,2,38.818352,140.727618,605,3.31
Plant_B27_3,Arayu-Jigoku,Forest edge,27,3,38.818352,140.727618,605,3.31
Plant_B27_4,Arayu-Jigoku,Forest edge,27,4,38.818352,140.727618,605,3.31
Plant_B27_5,Arayu-Jigoku,Forest edge,27,5,38.818352,140.727618,605,3.31
Plant_B28_1,Arayu-Jigoku,Forest edge,28,2,38.818361,140.727735,606,2.98
Plant_B28_2,Arayu-Jigoku,Forest edge,28,1,38.818361,140.727735,606,2.98
Plant_B28_3,Arayu-Jigoku,Forest edge,28,3,38.818361,140.727735,606,2.98
Plant_B28_4,Arayu-Jigoku,Forest edge,28,4,38.818361,140.727735,606,2.98
Plant_B28_5,Arayu-Jigoku,Forest edge,28,5,38.818361,140.727735,606,2.98
Plant_B29_1,Arayu-Jigoku,Forest edge,29,1,38.818376,140.72809,607,3.24
Plant_B29_2,Arayu-Jigoku,Forest edge,29,2,38.818376,140.72809,607,3.24
Plant_B29_3,Arayu-Jigoku,Forest edge,29,3,38.818376,140.72809,607,3.24
Plant_B30_1,Arayu-Jigoku,Forest edge,30,1,38.818434,140.72826,604,2.95
Plant_B30_2,Arayu-Jigoku,Forest edge,30,2,38.818434,140.72826,604,2.95
Plant_B30_3,Arayu-Jigoku,Forest edge,30,3,38.818434,140.72826,604,2.95
Plant_B30_4,Arayu-Jigoku,Forest edge,30,4,38.818434,140.72826,604,2.95
Plant_B31_1,Arayu-Jigoku,Forest edge,31,1,38.818438,140.728475,603,2.45
Plant_B31_2,Arayu-Jigoku,Forest edge,31,2,38.818438,140.728475,603,2.45
Plant_B32_1,Arayu-Jigoku,Forest edge,32,1,38.818483,140.728502,602,2.54
Plant_B32_2,Arayu-Jigoku,Forest edge,32,2,38.818483,140.728502,602,2.54
Plant_B32_3,Arayu-Jigoku,Forest edge,32,3,38.818483,140.728502,602,2.54
Plant_B32_4,Arayu-Jigoku,Forest edge,32,4,38.818483,140.728502,602,2.54
Plant_B33_1,Arayu-Jigoku,Forest edge,33,1,38.818536,140.728462,599,2.61
Plant_B33_2,Arayu-Jigoku,Forest edge,33,2,38.818536,140.728462,599,2.61
Plant_B33_3,Arayu-Jigoku,Forest edge,33,3,38.818536,140.728462,599,2.61
Plant_B34_1,Arayu-Jigoku,Forest edge,34,1,38.818639,140.728519,598,2.63
Plant_B34_2,Arayu-Jigoku,Forest edge,34,2,38.818639,140.728519,598,2.63
Plant_B34_3,Arayu-Jigoku,Forest edge,34,3,38.818639,140.728519,598,2.63
Plant_B35_1,Arayu-Jigoku,Forest edge,35,1,38.818835,140.728595,599,2.04
Plant_B35_2,Arayu-Jigoku,Forest edge,35,2,38.818835,140.728595,599,2.04
Plant_B35_3,Arayu-Jigoku,Forest edge,35,3,38.818835,140.728595,599,2.04
Plant_B35_4,Arayu-Jigoku,Forest edge,35,4,38.818835,140.728595,599,2.04
Plant_B36_1,Arayu-Jigoku,Forest edge,36,1,38.818808,140.728656,596,2.49
Plant_B36_2,Arayu-Jigoku,Forest edge,36,2,38.818808,140.728656,596,2.49
Plant_B36_3,Arayu-Jigoku,Forest edge,36,3,38.818808,140.728656,596,2.49
Plant_B37_1,Arayu-Jigoku,Forest edge,37,1,38.818828,140.728705,595,2.07
Plant_B37_2,Arayu-Jigoku,Forest edge,37,2,38.818828,140.728705,595,2.07
Plant_B37_3,Arayu-Jigoku,Forest edge,37,3,38.818828,140.728705,595,2.07
Plant_B37_4,Arayu-Jigoku,Forest edge,37,4,38.818828,140.728705,595,2.07
Plant_B38_1,Arayu-Jigoku,Forest edge,38,1,38.818799,140.728768,595,2.61
Plant_B38_2,Arayu-Jigoku,Forest edge,38,2,38.818799,140.728768,595,2.61
Plant_B38_3,Arayu-Jigoku,Forest edge,38,3,38.818799,140.728768,595,2.61
Plant_B38_4,Arayu-Jigoku,Forest edge,38,4,38.818799,140.728768,595,2.61
Plant_B38_5,Arayu-Jigoku,Forest edge,38,5,38.818799,140.728768,595,2.61
Plant_B39_1,Arayu-Jigoku,Forest edge,39,1,38.818895,140.728855,592,2.49
